행정구역별(읍면동),연령별,총인구(명),연령별2,
전국,합계,51422507,합계,51422507
전국,0~4세,2102959,20세이하,9604892
전국,5~9세,2303030,21세이상~30세이하,6925447
전국,10~14세,2276763,31세이상~40세이하,7518454
전국,15~19세,2922140,41세이상~50세이하,8570005
전국,20~24세,3517690,51세이상~60세이하,8380783
전국,25~29세,3407757,61세이상~64세이하,5566894
전국,30~34세,3447773,65세이상,7171227
전국,35~39세,4070681,,
전국,40~44세,4037048,,
전국,45~49세,4532957,,
전국,50~54세,4122551,,
전국,55~59세,4258232,,
전국,60~64세,3251699,,
전국,65~69세,2315195,,
전국,70~74세,1756166,,
전국,75~79세,1543849,,
전국,80~84세,943418,,
전국,85세이상,612599,,
전국,85~89세,434947,,
전국,90~94세,141555,,
전국,95~99세,32154,,
전국,100세이상,3943,,
전국,65세이상,7171227,,
