기간,자치구,합계,합계,살인,살인,강도,강도,강간강제추행,강간강제추행,절도,절도,폭력,폭력
기간,자치구,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
2017,합계,"107,835","79,865",142,140,169,170,"6,963","6,558","41,162","21,421","59,399","51,576"
2017,종로구,"4,057","4,437",7,9,10,15,253,"1,412","1,644",905,"2,143","2,096"
2017,중구,"4,184","2,851",1,-,9,9,267,149,"1,846",889,"2,061","1,804"
2017,용산구,"4,060","2,936",1,1,5,4,327,289,"1,346",626,"2,381","2,016"
2017,성동구,"2,767","2,031",1,1,3,3,132,106,"1,072",543,"1,559","1,378"
2017,광진구,"4,646","3,289",6,5,13,8,261,208,"2,220","1,168","2,146","1,900"
2017,동대문구,"3,975","3,274",11,10,3,5,165,149,"1,547","1,017","2,249","2,093"
2017,중랑구,"4,571","3,392",5,5,3,4,172,144,"1,533",813,"2,858","2,426"
2017,성북구,"3,434","2,479",7,7,8,8,173,134,"1,344",703,"1,902","1,627"
2017,강북구,"3,393","2,824",8,8,7,5,208,153,"1,014",635,"2,156","2,023"
2017,도봉구,"1,999","1,652",1,1,3,3,104,115,633,417,"1,258","1,116"
2017,노원구,"4,209","3,047",4,4,9,7,180,155,"1,538",757,"2,478","2,124"
2017,은평구,"3,883","3,207",6,6,4,4,230,213,"1,387",934,"2,256","2,050"
2017,서대문구,"3,113","2,299",4,4,1,2,202,181,"1,230",719,"1,676","1,393"
2017,마포구,"5,278","3,499",3,3,8,8,500,429,"2,094",837,"2,673","2,222"
2017,양천구,"3,882","2,660",3,2,3,2,138,122,"1,590",756,"2,148","1,778"
2017,강서구,"5,135","3,927",11,11,4,6,316,253,"1,888","1,113","2,916","2,544"
2017,구로구,"4,895","3,408",7,8,8,6,328,181,"1,725",869,"2,827","2,344"
2017,금천구,"3,265","2,572",5,5,5,5,240,212,"1,141",674,"1,874","1,676"
2017,영등포구,"5,969","4,012",15,13,5,5,455,267,"2,304","1,108","3,190","2,619"
2017,동작구,"3,330","2,242",1,1,7,9,396,173,"1,226",593,"1,700","1,466"
2017,관악구,"5,525","4,154",8,7,7,6,379,323,"1,979","1,152","3,152","2,666"
2017,서초구,"4,708","3,237",9,10,13,7,470,283,"1,812",835,"2,404","2,102"
2017,강남구,"7,720","5,321",7,7,20,24,607,496,"3,130","1,383","3,956","3,411"
2017,송파구,"5,576","3,870",6,6,1,3,288,242,"2,274","1,026","3,007","2,593"
2017,강동구,"4,261","3,245",5,6,10,12,172,169,"1,645",949,"2,429","2,109"
